Reservoir,Reservoir_type,Year,Cyanobacteria_Max_cells/ml,logCyanoMax_cells/ml,Chlorophyll_a_ug/l,Secchi_cm,TP_ppb,P_dissolved_ppb,TKN_ppm,NH3_ppm,NOx_ppm,TOC_ppm,Alkalinity_ppm,NH36to8inflow_ppm,TKN6to8inflow_ppm,NOx6to8inflow_ppm,TP6to8inflow_ppb,TOC6to8inflow_ppm,Summer_precip_inches,Summer_precip_Z-score,mayST_Celsius,junST_Celsius,julST_Celsius,augST_Celsius,mayDO_mg/l,junDO_mg/l,mayDT_Celsius,junDT_Celsius,julDT_Celsius,augDT_Celsius
BHR,1,2017,85271.2,4.931,2.58,168,5.1,50,0.164,0.08,0.107,2.76,76,0.073,0.13,0.155,8,2.3,14.33,0.14,22.85,25.56,28.75,27.39,6.96,3.27,16.63,20.01,23.47,23.82
BHR,1,2018,704232.2,5.848,10.87,115,61.3,49.8,0.193,0.077,0.044,3.04,114.2,na,na,na,na,na,15.99,0.57,23.02,26.97,27.76,27.82,5.98,2.55,16.53,23.25,22.82,25
BRR,2,1987,na,na,3.8,120,54.3,12,0.2,0.092,0.24,1.83,88.5,0.05,0.267,0.433,123.5,2,14.63,0.248,na,na,na,na,na,na,na,na,na,na
BRR,2,1988,804.5,2.906,na,72,na,na,na,na,na,na,80.6,na,na,na,na,na,8.89,-1.235,na,na,na,na,na,na,na,na,na,na
BRR,2,1989,na,na,na,96,22,5,0.28,0.05,0.2,3.25,75.2,0,0.2,0.85,54,2,17.89,1.091,19.3,26.06,27.79,27.61,4.77,1.23,11.28,15.91,19.57,21.97
BRR,2,1990,na,na,2.5,106,na,na,na,na,na,na,94.5,na,na,na,na,na,7.73,-1.535,17.1,25,27.98,27.89,6.68,3.37,13.26,16.67,17.54,17.72
BRR,2,1991,na,na,na,85.3,na,na,na,0.063,na,6.17,81.8,0.025,na,na,na,5.5,8.77,-1.266,22.64,27.24,28.77,28.04,4.51,3.09,14.54,16.76,18.29,19.06
BRR,2,1992,5170,3.713,6.75,74.3,61.3,42.14285714,0.267,0.075,0.233,4.78,67.8,0.05,na,1.075,265,3.2,14.16,0.127,20.69,23.69,27.61,26.23,4.99,1.85,12.63,16.38,20.91,21.16
BRR,2,1993,7035,3.847,3.52,94,na,na,na,0.06,na,4,39.5,0.133,na,na,na,3.5,11.13,-0.656,21.22,26.1,29.8,28.68,6.09,2.72,13.38,15.43,17.51,18.97
BRR,2,1994,na,na,5.04,43.1,na,na,na,na,na,5,na,na,na,na,na,4.8,11.67,-0.517,19.29,26.85,27.83,26.93,4.17,0.82,13.42,16.33,19.98,22.16
BRR,2,1995,6236.3,3.795,11.71,59.7,na,na,na,na,na,5.96,62,na,na,na,na,6.2,8.4,-1.362,20.76,26.13,28.52,29.62,2.41,0.73,14.89,18.37,20.53,21.27
BRR,2,1996,na,na,na,75.7,na,na,na,na,na,3.76,67.4,na,na,0.957,na,4.1,16.72,0.789,21.32,25.82,27.67,27.76,7.81,2.86,15.87,19.93,20.5,22.37
BRR,2,1997,na,na,13.42,65,na,na,na,na,0.136,3.88,na,na,na,0.598,na,7.5,11.65,-0.522,17.73,23.34,29.15,26.98,4.85,2.23,14.58,17.28,18.65,19.2
BRR,2,1998,11692.2,4.068,16.35,49.7,na,na,na,na,na,na,na,na,na,na,na,na,17.53,0.998,23.13,26.12,28.98,28.43,5.6,1.44,14.91,17.84,21.28,23.18
BRR,2,1999,7772.8,3.891,na,73.3,8,7.5,0.5,na,0.17,2.9,147.5,na,0.175,1.075,35,1.4,10.6,-0.793,22.05,26.63,29.11,28.5,5.13,1.79,14.22,14.98,19.06,19.46
BRR,2,2000,5688.1,3.755,na,55.5,na,na,na,na,na,na,na,na,na,na,na,na,7.89,-1.494,21.12,26.33,27.9,27.83,5.71,1.47,14.94,18.35,19.57,20.86
BRR,2,2001,2575.8,3.411,na,64,na,na,na,na,na,na,na,na,na,na,na,na,15.27,0.414,23.27,25.91,28.05,29.01,3.66,1.31,13.73,15.42,16.67,17.36
BRR,2,2002,15219.8,4.182,na,49.3,na,na,na,na,na,na,na,na,na,na,na,na,12.64,-0.266,19.87,27.02,29.57,30.02,4.69,2.06,16.26,16.85,17.55,18.32
BRR,2,2003,32694.1,4.514,na,37.7,na,na,na,na,na,na,na,na,na,na,na,na,22.71,2.337,21.83,23.93,28.54,28.79,2.9,1.1,15.49,18.35,20.01,21.31
BRR,2,2004,21128,4.325,na,35.3,na,na,na,na,na,na,na,na,na,na,na,na,15.28,0.416,23.08,26.64,28.06,26.68,3.26,0.12,15.33,18.59,20.11,22.14
